Jam_Belajar,Kehadiran,Keterlibatan_Orang_Tua,Akses_Sumber_Daya,Kegiatan_Ekstrakurikuler,Jam_Tidur,Nilai_Sebelumnya,Tingkat_Motivasi,Akses_Internet,Sesi_Bimbingan,Pendapatan_Keluarga,Kualitas_Guru,Jenis_Sekolah,Pengaruh_Teman,Aktivitas_Fisik,Kesulitan_Belajar,Pendidikan_Orang_Tua,Jarak_dari_Rumah,Jenis_Kelamin,Nilai_Ujian
15,67,Sedang,Sedang,Ya,,86,Tinggi,Ya,1,Tinggi,Sedang,Swasta,Positif,3,Tidak,Postgr@du@te,Dekat,Laki-laki,66
15,96,Sedang,Sedang,Tidak,7,54,Tinggi,Tidak,3,Sedang,Tinggi,,Negatif,2,,High School,NEAR,Laki-laki,67
20,86,Tinggi,Rendah,Tidak,8,60,Sedang,Ya,1,Sedang,Sedang,Negeri,Netral,4,Ya,Perguruan Tinggi,Jauh,Perempuan,66
22,95,Sedang,Tinggi,Tidak,9,88,Rendah,Ya,0,Rendah,Tinggi,Negeri,Positif,2,Tidak,POSTGRADUATE,Dekat,M@le,72
22,79,Sedang,,Tidak,9,94,Sedang,Ya,1,Sedang,Sedang,,POSITIVE,3,Tidak,,NEAR,M@le,68
25,82,Sedang,,Tidak,6,86,,Tidak,3,Rendah,,public,Positif,3,Tidak,,,Perempuan,69
20,97,Sedang,Sedang,Ya,7,76,Rendah,,2,Rendah,Rendah,Swasta,Positif,3,Tidak,Pascasarjana,Ne@r,Laki-laki,71
29,96,Sedang,Sedang,Ya,9,55,Rendah,Tidak,0,Sedang,Sedang,public,Netral,2,Tidak,POSTGRADUATE,Jauh,FEMALE,70
18,78,Sedang,Sedang,Tidak,9,91,Tinggi,Ya,2,Tinggi,Rendah,Negeri,neutral,4,Tidak,COLLEGE,F@r,Perempuan,67
36,71,Sedang,Sedang,Ya,6,56,Sedang,Ya,2,Tinggi,,Negeri,Positif,2,Tidak,HIGH SCHOOL,Jauh,Laki-laki,
24,76,Rendah,Tinggi,Tidak,8,,Rendah,Ya,2,Sedang,Sedang,Negeri,Netral,1,Tidak,High School,Sedang/Jarak Sedang,M@le,65
15,76,Tinggi,Tinggi,Tidak,8,,Sedang,Ya,1,Rendah,Sedang,Negeri,,4,,Perguruan Tinggi,Dekat,M@le,65
14,71,Sedang,Sedang,Ya,8,85,,Ya,2,Sedang,,Negeri,neutral,4,Tidak,,,MALE,64
23,71,Rendah,Rendah,Ya,9,75,Rendah,Ya,1,Rendah,Sedang,Negeri,Negatif,2,Tidak,Perguruan Tinggi,Dekat,Laki-laki,63
19,94,Rendah,Sedang,Ya,5,95,Sedang,Ya,3,Rendah,Rendah,Negeri,positive,2,Tidak,,,Laki-laki,69
24,63,Sedang,Rendah,Ya,6,57,Sedang,Ya,1,Rendah,Tinggi,Priv@te,,5,Tidak,Perguruan Tinggi,Dekat,Perempuan,64
23,87,Tinggi,Tinggi,Ya,8,91,Tinggi,Ya,0,Tinggi,Sedang,Swasta,Positif,3,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,72
20,67,Rendah,Sedang,Ya,7,76,Sedang,Ya,0,Sedang,Sedang,Negeri,Netral,4,Tidak,SMA,Dekat,Laki-laki,63
15,74,Rendah,Tinggi,Ya,4,68,Rendah,Ya,3,Rendah,Sedang,public,Positif,3,Tidak,HIGH SCHOOL,Dekat,FEMALE,64
11,62,Sedang,Tinggi,Ya,5,82,Sedang,Ya,3,Tinggi,Sedang,Swasta,Netral,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,64
17,71,Sedang,Sedang,Ya,8,90,Sedang,Ya,5,Sedang,Sedang,Negeri,POSITIVE,1,,Postgr@du@te,Jauh,Laki-laki,67
25,91,Sedang,Sedang,Tidak,8,72,Rendah,Ya,2,Sedang,Tinggi,Negeri,Positif,0,Tidak,postgraduate,Dekat,Laki-laki,71
21,95,,Sedang,Tidak,5,62,Tinggi,Ya,1,Sedang,Rendah,Negeri,Positif,4,Tidak,High School,Dekat,Laki-laki,
13,69,Sedang,Rendah,Ya,9,96,Rendah,Ya,0,Tinggi,Sedang,Swasta,NEUTRAL,4,Tidak,High School,Jauh,Perempuan,61
21,79,Sedang,Tinggi,Ya,7,66,Rendah,Ya,2,Rendah,Sedang,Negeri,Negatif,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,67
,79,Tinggi,Sedang,Tidak,5,100,Sedang,,4,,Tinggi,Negeri,Negatif,3,Tidak,Perguruan Tinggi,Dekat,M@le,72
15,95,Rendah,Rendah,Ya,6,88,,Ya,1,Rendah,,Negeri,Negatif,5,Tidak,,,Laki-laki,
21,91,Sedang,Tinggi,Ya,5,84,Sedang,Ya,1,,Rendah,public,neutral,2,Tidak,High School,Ne@r,MALE,70
,81,Tinggi,Sedang,Ya,6,51,Tinggi,Tidak,3,Sedang,Sedang,Negeri,Netral,4,Ya,SMA,Dekat,Laki-laki,67
13,87,Tinggi,Rendah,Ya,4,72,Sedang,Ya,2,Sedang,Tinggi,Negeri,neutral,3,Tidak,HIGH SCHOOL,Sedang/Jarak Sedang,Perempuan,67
22,94,Rendah,Sedang,Ya,7,75,Tinggi,Ya,2,Tinggi,Sedang,Negeri,Netral,2,Tidak,,Dekat,Perempuan,71
23,,Tinggi,Sedang,Ya,8,69,Sedang,Ya,1,Rendah,Sedang,Swasta,Positif,4,Tidak,Perguruan Tinggi,Dekat,M@le,66
26,76,Sedang,Sedang,Ya,5,57,Sedang,Ya,1,Sedang,,,Positif,4,Tidak,HIGH SCHOOL,Dekat,Laki-laki,68
26,96,Sedang,Sedang,Ya,7,68,,Ya,3,Tinggi,,Swasta,positive,3,Tidak,,,Perempuan,74
12,90,Sedang,Rendah,Ya,6,54,Sedang,Tidak,1,Tinggi,Sedang,Negeri,Netral,3,Tidak,SMA,Dekat,MALE,64
14,82,Sedang,Sedang,Tidak,8,65,Sedang,Ya,1,Rendah,Sedang,Swasta,Positif,3,Tidak,Perguruan Tinggi,Dekat,Laki-laki,65
23,81,Rendah,Sedang,,4,54,Sedang,Ya,1,Rendah,Sedang,Negeri,Netral,3,Tidak,Perguruan Tinggi,NEAR,,66
23,74,Sedang,Tinggi,Ya,8,88,Rendah,Ya,0,Sedang,Tinggi,Negeri,Negatif,3,Ya,High School,Dekat,Laki-laki,66
,81,Sedang,Rendah,Tidak,4,84,Sedang,Ya,2,Sedang,Sedang,public,Positif,5,Tidak,SMA,Dekat,Laki-laki,68
43,86,Tinggi,Sedang,Ya,7,97,Sedang,Ya,2,Sedang,Tinggi,,positive,,Tidak,HIGH SCHOOL,Dekat,Perempuan,78
23,77,Sedang,Tinggi,Ya,6,69,Rendah,,1,Sedang,Sedang,Swasta,Positif,,Tidak,High School,Sedang/Jarak Sedang,FEMALE,67
,89,,Tinggi,Ya,6,89,Sedang,Ya,3,Sedang,Sedang,Swasta,Positif,3,Tidak,High School,Dekat,Laki-laki,74
26,94,Sedang,Tinggi,Tidak,5,79,Tinggi,Ya,1,Rendah,Tinggi,public,,2,Tidak,Pascasarjana,NEAR,Laki-laki,74
24,66,Sedang,Rendah,Tidak,9,82,Rendah,Ya,1,Sedang,Sedang,Negeri,Netral,2,Ya,High School,Dekat,,62
18,78,Tinggi,Sedang,Ya,5,77,Sedang,Tidak,,Sedang,Sedang,Negeri,Netral,4,Tidak,High School,Jauh,Laki-laki,
25,76,Sedang,Sedang,Ya,5,89,Tinggi,Ya,3,Sedang,Tinggi,Negeri,neutral,3,Tidak,SMA,Jauh,Perempuan,69
15,87,Sedang,Tinggi,Ya,10,52,Sedang,Ya,2,Rendah,Tinggi,Swasta,Positif,3,Tidak,college,Dekat,Laki-laki,68
19,70,Sedang,Rendah,Tidak,7,54,Tinggi,Ya,0,Sedang,Sedang,Negeri,Positif,2,Ya,SMA,Sedang/Jarak Sedang,Laki-laki,89
17,86,Tinggi,Rendah,Tidak,5,55,,Tidak,2,Tinggi,,Swasta,Netral,4,Tidak,,,Laki-laki,66
20,95,Rendah,Sedang,Ya,7,64,Rendah,Tidak,2,Sedang,Tinggi,Negeri,Netral,3,Tidak,High School,Dekat,Perempuan,68
34,77,Sedang,Rendah,Ya,7,80,Rendah,Ya,0,Sedang,Sedang,Negeri,Positif,3,Tidak,HIGH SCHOOL,Dekat,Laki-laki,69
9,96,Sedang,Sedang,Ya,4,82,Tinggi,Tidak,0,Rendah,Sedang,Negeri,POSITIVE,4,Tidak,Perguruan Tinggi,Dekat,Laki-laki,67
24,100,Tinggi,Tinggi,Ya,6,86,Rendah,,,Sedang,Sedang,Swasta,POSITIVE,,Tidak,HIGH SCHOOL,,Laki-laki,75
10,64,Sedang,Tinggi,Tidak,7,64,Tinggi,Ya,0,Sedang,Sedang,Negeri,Positif,4,Ya,High School,Sedang/Jarak Sedang,Perempuan,60
17,69,Tinggi,Sedang,Ya,9,83,Sedang,Ya,2,Sedang,Tinggi,Swasta,Positif,4,Ya,Perguruan Tinggi,Moder@te,Perempuan,66
27,98,Rendah,Tinggi,Ya,7,56,Rendah,Ya,1,Tinggi,Sedang,Swasta,,3,Tidak,COLLEGE,Ne@r,Perempuan,73
20,98,Sedang,Rendah,,7,50,,Ya,1,Sedang,,Swasta,Netral,2,Tidak,,,Perempuan,68
14,64,Sedang,Sedang,Ya,6,85,Sedang,Ya,0,Sedang,Sedang,Negeri,Netral,3,Tidak,SMA,Ne@r,Laki-laki,
16,61,Sedang,Sedang,Tidak,9,86,Rendah,Ya,2,Rendah,Tinggi,Negeri,Positif,2,Tidak,High School,NEAR,Laki-laki,62
24,66,Tinggi,Rendah,Ya,8,81,Tinggi,Ya,1,Sedang,Sedang,Negeri,,4,Tidak,HIGH SCHOOL,FAR,Laki-laki,65
16,100,Tinggi,,Ya,8,63,Tinggi,Ya,2,Rendah,Sedang,Negeri,Negatif,3,Tidak,High School,Sedang/Jarak Sedang,M@le,69
21,67,Sedang,Sedang,,7,,Rendah,Ya,,Rendah,Sedang,Negeri,neutral,2,Tidak,High School,,Perempuan,64
20,80,Sedang,Tinggi,Tidak,5,94,Sedang,Ya,0,Rendah,Rendah,Swasta,Positif,4,Ya,Postgr@du@te,MODERATE,FEMALE,
16,94,Tinggi,Tinggi,Ya,9,76,,Ya,,Rendah,,Negeri,Netral,2,Tidak,,,M@le,70
33,61,Sedang,Sedang,Tidak,7,99,Tinggi,Ya,2,Sedang,Tinggi,Negeri,Netral,3,Tidak,Perguruan Tinggi,Ne@r,Perempuan,70
24,84,Tinggi,,Tidak,,65,Rendah,Ya,3,Sedang,Tinggi,public,Positif,3,Tidak,High School,Dekat,Perempuan,69
8,71,Tinggi,,Tidak,8,75,Sedang,Ya,0,Sedang,Tinggi,Negeri,POSITIVE,3,Tidak,High School,Dekat,M@le,61
21,94,Sedang,Sedang,Tidak,7,96,,Ya,0,,,Swasta,Netral,2,Ya,,,Laki-laki,69
16,71,Tinggi,Sedang,Ya,5,73,Sedang,Ya,1,Sedang,Sedang,Negeri,Netral,0,Ya,SMA,Ne@r,MALE,63
,87,Sedang,Rendah,Ya,7,74,Rendah,Ya,0,Sedang,Tinggi,public,Netral,4,Ya,,NEAR,Laki-laki,67
15,87,Rendah,Sedang,Tidak,4,54,Sedang,Ya,1,Sedang,Sedang,Negeri,Netral,6,Tidak,,Sedang/Jarak Sedang,Laki-laki,65
19,69,Sedang,Sedang,Ya,7,61,Tinggi,Ya,3,Tinggi,Tinggi,Negeri,Netral,4,Tidak,High School,Sedang/Jarak Sedang,Laki-laki,66
23,,Rendah,Sedang,Tidak,9,58,Sedang,Ya,4,Sedang,,Negeri,Netral,2,,High School,Dekat,,63
,76,Sedang,Tinggi,Ya,4,78,Sedang,Ya,2,Sedang,,Swasta,Negatif,3,Tidak,SMA,MODERATE,Perempuan,68
13,72,Tinggi,Tinggi,Tidak,7,66,Sedang,Ya,,,Tinggi,public,Netral,4,Tidak,Pascasarjana,Ne@r,Laki-laki,65
18,92,Rendah,Sedang,Ya,8,54,Sedang,Ya,1,Sedang,,Negeri,POSITIVE,3,Tidak,High School,Ne@r,M@le,67
17,92,,Rendah,Ya,8,75,Sedang,Ya,,Sedang,Tinggi,Negeri,Netral,3,Tidak,Pascasarjana,Ne@r,Perempuan,68
16,78,Sedang,Tinggi,Tidak,6,83,Sedang,Ya,0,Rendah,Rendah,Negeri,Netral,3,Ya,Perguruan Tinggi,Dekat,Laki-laki,64
31,84,Sedang,Sedang,,5,87,Tinggi,Ya,0,Sedang,Sedang,Swasta,Positif,3,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,71
22,84,Sedang,Sedang,Ya,6,92,Rendah,Ya,0,Sedang,Sedang,Negeri,Netral,5,Tidak,High School,Dekat,Perempuan,69
12,93,Sedang,Sedang,Ya,9,74,Rendah,Ya,1,,Sedang,Negeri,Netral,3,Tidak,POSTGRADUATE,Sedang/Jarak Sedang,MALE,67
26,77,Rendah,Sedang,Tidak,4,70,Rendah,Ya,,Tinggi,Rendah,Negeri,Netral,3,Ya,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,65
33,71,Rendah,Sedang,Tidak,5,84,Sedang,Ya,1,Sedang,Sedang,Negeri,Positif,2,Tidak,,Dekat,M@le,68
26,71,Tinggi,Sedang,Ya,,51,Rendah,Tidak,1,Tinggi,Sedang,Swasta,Positif,3,Tidak,Pascasarjana,Sedang/Jarak Sedang,Laki-laki,67
11,81,Sedang,Sedang,Ya,,82,Tinggi,Ya,3,Sedang,Tinggi,Negeri,Netral,4,Tidak,SMA,Ne@r,M@le,67
17,78,Sedang,Tinggi,Ya,7,70,Sedang,Tidak,2,Rendah,Tinggi,,Positif,3,Tidak,High School,,Laki-laki,66
28,78,Tinggi,Sedang,Tidak,,73,Tinggi,Ya,2,Sedang,Sedang,Negeri,Netral,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,70
16,64,Tinggi,Rendah,Ya,5,,Sedang,Ya,3,Sedang,Tinggi,Swasta,,4,Tidak,Pascasarjana,MODERATE,,65
23,89,Rendah,Rendah,Ya,7,56,Rendah,Ya,4,Sedang,Rendah,PRIVATE,Positif,4,Tidak,Pascasarjana,Dekat,Perempuan,69
25,69,,Sedang,Ya,7,70,Rendah,Tidak,1,,Tinggi,Negeri,Positif,,Tidak,High School,F@r,Perempuan,65
14,68,Tinggi,,,6,65,Sedang,Ya,1,Tinggi,Sedang,Negeri,Netral,3,Ya,Perguruan Tinggi,Dekat,Laki-laki,63
20,,Sedang,Sedang,Tidak,5,98,Rendah,Ya,2,Rendah,Tinggi,PRIVATE,Netral,2,Tidak,,FAR,Perempuan,67
1,69,Tinggi,Sedang,Ya,6,97,Sedang,Ya,1,Rendah,Sedang,Negeri,Positif,3,Tidak,HIGH SCHOOL,NEAR,FEMALE,61
14,83,Sedang,Rendah,Ya,6,82,Sedang,Ya,0,,Sedang,Negeri,Positif,2,Tidak,High School,,,65
18,,Rendah,Tinggi,Ya,8,95,Sedang,Ya,1,Rendah,Rendah,Negeri,,2,Tidak,college,Ne@r,Perempuan,66
13,78,Sedang,Tinggi,Ya,8,88,Tinggi,Ya,0,Tinggi,Rendah,Negeri,Netral,3,Tidak,COLLEGE,Dekat,Laki-laki,66
30,81,Sedang,Rendah,Ya,5,67,,Ya,1,Tinggi,,public,NEGATIVE,1,Tidak,,,Laki-laki,69
11,68,Sedang,Sedang,,6,80,Sedang,Ya,2,Sedang,Sedang,Negeri,positive,3,,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,63
17,66,Rendah,Tinggi,Tidak,6,61,Sedang,Ya,1,Tinggi,Sedang,Negeri,POSITIVE,6,Tidak,Pascasarjana,Dekat,Laki-laki,65
21,95,,Rendah,Tidak,10,84,Rendah,Ya,0,Tinggi,Sedang,public,Netral,4,Ya,High School,Dekat,Laki-laki,67
29,77,Tinggi,Tinggi,Ya,7,52,Sedang,Ya,2,Tinggi,Sedang,public,NEGATIVE,3,Ya,High School,NEAR,Perempuan,69
11,76,Rendah,Sedang,Ya,5,92,Sedang,Ya,4,Sedang,Rendah,Negeri,Negatif,,Tidak,Pascasarjana,Dekat,Laki-laki,65
27,61,Sedang,Sedang,Tidak,6,79,Sedang,Ya,1,Rendah,Sedang,Negeri,Positif,3,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,65
20,80,Tinggi,Rendah,Ya,6,53,Sedang,Ya,0,Rendah,Sedang,Negeri,Netral,2,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,65
14,82,Sedang,Tinggi,Ya,8,,Rendah,Ya,2,Rendah,Tinggi,Negeri,Negatif,5,Tidak,Perguruan Tinggi,F@r,Perempuan,67
23,82,Rendah,Sedang,Ya,8,94,Sedang,Ya,1,Sedang,Sedang,Negeri,Negatif,2,Ya,SMA,,,66
21,88,Sedang,Tinggi,,7,93,Sedang,Ya,4,Rendah,Sedang,Negeri,Positif,3,Tidak,High School,Dekat,Perempuan,72
16,67,Sedang,Tinggi,Tidak,7,89,Tinggi,Ya,3,Rendah,Sedang,Negeri,Positif,3,Tidak,Perguruan Tinggi,,Laki-laki,66
20,70,Sedang,Sedang,Ya,7,84,Rendah,Tidak,2,Sedang,Tinggi,Swasta,Netral,4,Tidak,COLLEGE,Jauh,,65
18,92,Tinggi,Sedang,Ya,7,70,Sedang,Ya,1,Rendah,Sedang,Negeri,,3,Tidak,,Moder@te,Laki-laki,69
21,98,Sedang,Rendah,Tidak,4,57,Sedang,Ya,2,Tinggi,Rendah,Negeri,Netral,2,,High School,Dekat,Perempuan,68
24,65,Sedang,Rendah,Tidak,7,64,Rendah,Ya,1,Tinggi,Sedang,Negeri,Netral,1,Tidak,Pascasarjana,Dekat,Laki-laki,64
30,80,Rendah,Tinggi,Tidak,6,67,Sedang,Ya,3,Sedang,Sedang,Negeri,Negatif,4,,Perguruan Tinggi,MODERATE,Perempuan,69
13,69,Sedang,Rendah,Ya,5,68,Rendah,Ya,0,Tinggi,,public,Positif,1,Ya,High School,Sedang/Jarak Sedang,Perempuan,59
33,62,Tinggi,Sedang,Ya,10,78,Sedang,Ya,0,Sedang,Sedang,PRIVATE,Positif,3,Tidak,High School,,FEMALE,68
,73,Sedang,Sedang,Tidak,7,60,Sedang,Tidak,0,Tinggi,Sedang,Swasta,Netral,3,Tidak,High School,Dekat,Perempuan,60
19,66,Sedang,Tinggi,Tidak,7,59,Sedang,Ya,1,Tinggi,Sedang,public,Negatif,3,Tidak,High School,FAR,Laki-laki,62
24,88,Rendah,,Ya,6,86,Rendah,Ya,0,Rendah,Rendah,Negeri,Negatif,3,Tidak,Perguruan Tinggi,Ne@r,Laki-laki,67
22,81,Rendah,Tinggi,Ya,8,50,Tinggi,,4,Sedang,Sedang,Priv@te,POSITIVE,5,Tidak,High School,Jauh,Perempuan,
16,,Sedang,Tinggi,Ya,5,57,Tinggi,,3,Sedang,Sedang,public,Positif,3,,High School,MODERATE,Perempuan,64
19,60,Sedang,Tinggi,Ya,7,72,Tinggi,Ya,3,Rendah,Tinggi,Negeri,Positif,3,Tidak,High School,Sedang/Jarak Sedang,Perempuan,65
17,92,Rendah,,Ya,6,57,Sedang,Ya,2,Sedang,Sedang,Swasta,Positif,2,Ya,HIGH SCHOOL,Sedang/Jarak Sedang,FEMALE,65
16,67,Tinggi,Sedang,Tidak,8,98,Sedang,Ya,0,Rendah,Rendah,public,Netral,3,Tidak,High School,NEAR,FEMALE,63
25,84,Sedang,Rendah,Ya,,84,Rendah,Ya,2,Sedang,Tinggi,Negeri,Positif,3,Tidak,High School,Dekat,Laki-laki,70
22,73,Rendah,Sedang,Ya,9,72,Rendah,,3,Sedang,Sedang,public,Positif,,Tidak,High School,Dekat,Perempuan,66
16,83,Sedang,Tinggi,Ya,7,56,Rendah,Ya,4,Tinggi,Sedang,Negeri,Positif,3,Tidak,SMA,Dekat,Perempuan,68
25,73,Rendah,Rendah,,8,69,Sedang,Ya,3,Sedang,Sedang,Priv@te,,3,Tidak,SMA,Dekat,Perempuan,66
,63,Rendah,Rendah,Tidak,8,83,Sedang,Ya,3,Sedang,Sedang,Swasta,Negatif,1,Tidak,Perguruan Tinggi,NEAR,Laki-laki,63
25,69,Tinggi,Sedang,Ya,9,98,Sedang,Ya,1,Rendah,Sedang,Negeri,Negatif,3,Ya,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,66
24,68,Sedang,Sedang,Ya,6,74,Sedang,Ya,1,Sedang,Sedang,Negeri,neutral,3,Tidak,High School,NEAR,Perempuan,
